55.860001 1:1 2:1990500 
55.91 1:4 2:2252600 
55.639999 1:5 2:2785700 
55.299999 1:6 2:3360400 
54.540001 1:7 2:2243100 
54.369999 1:8 2:6454900 
54.220001 1:11 2:3324100 
53.389999 1:12 2:5908000 
53.98 1:13 2:4147100 
54.009998 1:14 2:4411800 
53.290001 1:15 2:2625300 
53.389999 1:18 2:787300 
53.119999 1:20 2:2652700 
53.349998 1:21 2:2043500 
53.130001 1:22 2:2435800 
52.98 1:25 2:1782900 
53.240002 1:26 2:2525400 
53.549999 1:27 2:2480900 
53.93 1:28 2:2280200 
52.830002 1:29 2:3228700 
51.639999 1:32 2:3310600 
50.880001 1:33 2:4739300 
51.849998 1:34 2:2412700 
51.700001 1:35 2:2423500 
51.259998 1:36 2:2663900 
49.830002 1:39 2:2453200 
50.689999 1:40 2:2321800 
50.119999 1:41 2:2460700 
50.900002 1:42 2:4210100 
50.869999 1:43 2:2491400 
50.259998 1:46 2:2084900 
50.32 1:47 2:2850900 
50.290001 1:48 2:1954900 
50.310001 1:49 2:2538700 
50.330002 1:50 2:2004400 
49.779999 1:53 2:2853900 
50.09 1:54 2:3320600 
49.610001 1:55 2:2618600 
50.130001 1:56 2:2486000 
49.700001 1:57 2:1901500 
49.990002 1:60 2:1874600 
49.900002 1:61 2:3651100 
